room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10619138,54012179,Entire home/apt,,St Albans East,1,,5,2.0,90.0,2.0,-43.509405,172.63773,2016-08-19 21:42:06.797874
12210753,11372856,Private room,,Aorangi,10,5.0,2,1.0,30.0,1.0,-43.501148,172.603294,2016-08-19 21:42:03.480150
14019926,40666448,Private room,,Hawthornden,0,,2,1.0,46.0,1.0,-43.512371,172.545511,2016-08-19 21:42:03.220590
6853240,35677409,Entire home/apt,,Moncks Bay,27,4.5,4,1.0,109.0,2.0,-43.567498,172.730554,2016-08-19 21:41:56.381405
2818482,14300208,Private room,,Shirley West,73,5.0,2,1.0,37.0,1.0,-43.497283,172.643685,2016-08-19 21:41:56.174578
10633726,54893141,Private room,,Jellie Park,5,4.0,2,1.0,57.0,1.0,-43.511709,172.577297,2016-08-19 21:41:50.910619
13713121,30430129,Private room,,St Albans West,0,,2,1.0,41.0,1.0,-43.510321,172.630262,2016-08-19 21:41:47.704617
5040124,26021220,Entire home/apt,,Somerfield,69,5.0,7,3.0,112.0,,-43.55621,172.629582,2016-08-19 21:41:44.636907
7270471,23363045,Private room,,Avon Loop,4,5.0,2,1.0,41.0,4.0,-43.520976,172.638995,2016-08-19 21:41:40.086639
7410479,37953447,Private room,,Rawhiti,1,,2,1.0,75.0,1.0,-43.501032,172.713827,2016-08-19 21:41:33.348476
10502299,10054770,Entire home/apt,,Moncks Bay,6,5.0,2,0.0,82.0,1.0,-43.575173,172.752803,2016-08-19 21:41:23.290276
12815361,69898199,Private room,,North Beach,12,5.0,2,1.0,30.0,1.0,-43.49018,172.71671,2016-08-19 21:41:16.134148
9845550,50694865,Entire home/apt,,Merivale,35,4.5,2,0.0,66.0,2.0,-43.519341,172.625428,2016-08-19 21:41:11.096341
5396670,12659406,Entire home/apt,,Hawthornden,94,5.0,2,0.0,112.0,1.0,-43.503969,172.55401,2016-08-19 21:41:07.275031
11642877,15988718,Entire home/apt,,Avon Loop,2,,4,1.0,90.0,1.0,-43.529105,172.643104,2016-08-19 21:41:00.349645
1429281,7619275,Private room,,Oaklands West,49,4.5,2,1.0,48.0,2.0,-43.57154,172.552899,2016-08-19 21:40:44.066706
13603433,63986978,Private room,,Addington,0,,1,1.0,23.0,1.0,-43.544403,172.613091,2016-08-19 21:40:22.710537
10282397,52885018,Private room,,Strowan,0,,1,1.0,45.0,1.0,-43.504711,172.604205,2016-08-19 21:40:20.372545
10090128,51775159,Private room,,Rutland,5,4.5,2,1.0,37.0,2.0,-43.50714,172.623682,2016-08-19 21:40:14.648886
12193895,65549244,Private room,,St Albans West,20,4.5,2,1.0,34.0,1.0,-43.514542,172.629101,2016-08-19 21:40:09.566657
2442116,10202392,Private room,,Mona Vale,25,4.5,2,1.0,52.0,1.0,-43.528137,172.590215,2016-08-19 21:39:51.166632
7204507,37723849,Private room,,Fendalton,6,5.0,2,1.0,37.0,1.0,-43.519365,172.580114,2016-08-19 21:39:46.412743
7480793,39174544,Private room,,Woolston West,27,5.0,2,1.0,57.0,1.0,-43.540747,172.668578,2016-08-19 21:39:38.575380
2910013,12487522,Private room,,Travis,1,,2,1.0,44.0,1.0,-43.500517,172.688348,2016-08-19 21:39:24.655141
11928588,23825616,Private room,,Westburn,4,5.0,2,1.0,30.0,2.0,-43.508516,172.567649,2016-08-19 21:39:19.201162
12187650,41577658,Private room,,Barrington North,10,5.0,2,1.0,37.0,1.0,-43.55497,172.600288,2016-08-19 21:38:46.019188
13847996,15484405,Entire home/apt,,Cashmere East,0,,6,4.0,82.0,,-43.574066,172.637714,2016-08-19 21:38:43.810771
13925093,82695665,Private room,,Northcote,0,,2,1.0,54.0,1.0,-43.487304,172.608886,2016-08-19 21:38:43.348657
10810311,55183024,Entire home/apt,,Oaklands West,1,,16,8.0,359.0,1.0,-43.570617,172.558937,2016-08-19 21:38:40.537708
11626923,61596277,Private room,,Westhaven,17,5.0,5,1.0,74.0,1.0,-43.49244,172.670027,2016-08-19 21:38:34.110292
13361573,75812266,Private room,,Ferrymead,5,5.0,2,1.0,22.0,2.0,-43.558336,172.706628,2016-08-19 21:38:28.471565
10553293,25106573,Private room,,Deans Bush,6,5.0,2,1.0,52.0,1.0,-43.519305,172.593587,2016-08-19 21:38:24.115490
13240488,7639978,Private room,,St Martins,1,,3,1.0,67.0,1.0,-43.561046,172.655606,2016-08-19 21:38:20.523812
13817933,81390838,Entire home/apt,,Merivale,3,5.0,6,3.0,285.0,2.0,-43.512663,172.618307,2016-08-19 21:38:14.341818
8802481,15744972,Entire home/apt,,Riccarton,8,4.5,6,3.0,150.0,3.0,-43.533259,172.610484,2016-08-19 21:38:09.078507
6824533,35747651,Private room,,Strowan,0,,2,1.0,68.0,1.0,-43.509165,172.603077,2016-08-19 21:37:56.971860
10284027,52896447,Private room,,Ferrymead,25,5.0,2,1.0,46.0,1.0,-43.547783,172.690001,2016-08-19 21:33:11.700736
5414245,28009020,Private room,,Linwood,66,4.5,2,1.0,45.0,1.0,-43.529461,172.656962,2016-08-19 21:33:03.764629
10772286,55065476,Entire home/apt,,Lyttelton,34,5.0,2,0.0,64.0,1.0,-43.59728,172.716698,2016-08-19 21:33:01.358856
2238148,6155840,Entire home/apt,,Styx Mill,94,5.0,2,1.0,68.0,2.0,-43.476223,172.614141,2016-08-19 21:32:50.794927
10453259,51775159,Private room,,Rutland,1,,2,1.0,37.0,1.0,-43.506235,172.623776,2016-08-19 21:32:44.556680
12174722,12374893,Entire home/apt,,Linwood,12,5.0,4,2.0,139.0,2.0,-43.528507,172.652329,2016-08-19 21:32:40.901152
14375731,35179248,Private room,,Phillipstown,0,,2,1.0,23.0,1.0,-43.537293,172.664967,2016-08-19 21:32:30.131695
6066847,18171177,Entire home/apt,,Sumner,36,4.5,4,1.0,57.0,1.0,-43.575181,172.773112,2016-08-19 21:32:27.342641
6338617,8014835,Entire home/apt,,Mt Pleasant,1,,10,5.0,450.0,3.0,-43.569037,172.725664,2016-08-19 21:32:16.628561
14043964,73900349,Entire home/apt,,Lyttelton,0,,1,1.0,67.0,3.0,-43.602108,172.690588,2016-08-19 21:32:13.867012
9159486,12074259,Private room,,Jellie Park,64,5.0,4,1.0,90.0,1.0,-43.510196,172.575357,2016-08-19 21:32:03.324532
